name,kind,director,country,year,imdb_rating
21 мост,"Драма (жанр),Триллер,Детектив","Кирк, Брайан",Соединённые Штаты Америки,2019,7.2
"23 - Всё не то, чем кажется","Триллер,Драма (жанр)",Ганс-Христиан Шмидт (страница отсутствует),Германия,1998,6.4
30 дней до рассвета,"Фильм ужасов,Комедия",Андерс Банке,Швеция,2006,6.3
22 минуты,Боевик (киножанр),"Сериков, Василий Александрович (страница отсутствует)",Россия,2014,7.0
21 ночь с Патти,,Братья Ларье,Франция,2015,7.2
21 грамм,Драма (жанр),"Гонсалес Иньярриту, Алехандро",Кинематограф США,2003,7.2
"22 июня, ровно в 4 часа…",Драматический фильм,Борис Галкин,Россия,1992,N/A
22 июля,Драма (жанр),"Гринграсс, Пол",Соединённые Штаты Америки,2018,7.0
24 часа из жизни женщины,Кинокомедия,"Савока, Нэнси",Соединённые Штаты Америки,1999,8.4
24 часа: Искупление,"Боевик (киножанр),Драматический фильм,Музыка к фильму","Кассар, Джон","Южно-Африканская Республика,Соединённые Штаты Америки",,8.4
25 ватт,Комедийная драма,"Ребелья, Хуан Пабло",Уругвай,2001,7.0
25-й час,"Детективный фильм,Драма (жанр)","Ли, Спайк",Соединённые Штаты Америки,2002,7.0
22 пули: Бессмертный,"Триллер,Детективный фильм","Берри, Ришар",Франция,2010,7.0
20 тысяч разновидностей пчёл,"Драматический фильм,d:Q20442589",d:Q111993425,Испания,2023,5.8
20 сигарет,"Драма (жанр),Комедия","Горновский, Александр Васильевич (страница отсутствует)",Россия,2007,5.8
20 дней в Мариуполе,"Документальное кино,Военный фильм","Чернов, Мстислав Андреевич",Украина,2023,5.8
20 миллионов миль до Земли,"Научно-фантастический фильм,Фильм о монстрах,Фильм-катастрофа,Приключенческий фильм,Фэнтезийный фильм,Фильм-триллер,Фильм ужасов","Юран, Натан","Соединённые Штаты Америки,Италия,Федеративная Республика Германии (1949—1990)",1957,5.8
20-е декабря,Исторический фильм,"Никулин, Григорий Георгиевич (старший)",Союз Советских Социалистических Республик,,5.8
24 недели,Драматический фильм,d:Q21511808,Германия,22 сентября,8.4
20 сантиметров,"Комедия,Мюзикл",Рамон Саласар,"Испания,Франция",2005,5.8
18-летняя девственница,Комедия,Тамара Олсон (страница отсутствует),США,2008,5.2
24 кадра,Драматический фильм,"Киаростами, Аббас","Иран,Франция",2017,8.4
16 желаний,"Подростковый фильм,Фэнтезийная комедия","Делуиз, Питер",Соединённые Штаты Америки,,6.6
24 часа,Триллер,"Мандоки, Луис (страница отсутствует)","Соединённые Штаты Америки,Германия",2002,8.4
18 килогерц,Драма (жанр),Фархат Шарипов,"Флаг Казахстана,Казахстан",2020,5.2
18 бронзовых бойцов,"Боевик (киножанр),Драма (жанр)","Го, Джозеф (страница отсутствует),en:Joseph Kuo","Гонконг,Китайская Республика (Тайвань)",1,5.2
24-25 не возвращается,"Детективный фильм,Драматический фильм","Бренч, Алоиз Алоизович,Горяев, Ростислав Аркадьевич",Союз Советских Социалистических Республик,1968,5.9
«17 девушек»,,,Франция,2011,6.4
16 кварталов,"Детективный фильм,Драма (жанр),Триллер",Ричард Доннер,Соединённые Штаты Америки,2006,6.6
18 мая,,"Ким Джи Хун (режиссёр) (страница отсутствует),en:Kim Ji-hoon (director)",Республика Корея,2007,5.2
15 минут славы,"Криминальная драма,Боевик (киножанр)","Херцфелд, Джон (страница отсутствует)",Кинематограф США,2001,6.1
15 августа,Кинокомедия,"Алессандрен, Патрик (страница отсутствует)",Кинематограф Франции,2001,6.1
14+,Мелодрама,"Зайцев, Андрей Евгеньевич",Россия,2015,N/A
14 амазонок,"Приключенческий фильм,Драма (жанр),Военный фильм","Чэн Ган (страница отсутствует),Дун Шаоюн (страница отсутствует)",Гонконг,1972,7.7
20 000 лье под водой,"Криминальный фильм,Драма (жанр),Триллер",Род Харди (страница отсутствует),Соединённые Штаты Америки,1997,5.4
14 клинков,"Боевик (киножанр),Триллер","Ли, Дэниел (режиссёр)","Гонконг,Китай",2010,7.7
14 июля,Кинокомедия,Рене Клер,Франция,1933,7.7
14+: Продолжение,Мелодрама,"Зайцев, Андрей Евгеньевич",Россия,2023,7.7
13-й район: Кирпичные особняки,Боевик (киножанр),Камиль Деламарр (страница отсутствует),"Франция,Канада,Соединённые Штаты Америки",2014,7.5
13-й район,Боевик (киножанр),"Морель, Пьер (кинематографист)",Франция,2004,7.5
13 часов: Тайные солдаты Бенгази,"Военный фильм,Драма (жанр),Триллер","Бэй, Майкл",Соединённые Штаты Америки,2016,7.5
20 000 лет в Синг-Синге,Криминальная драма,Майкл Кёртис,Соединённые Штаты Америки,1932,5.4
13-я жертва,Ужасы,"Хаус, Мел (страница отсутствует),en:Mel House",Соединённые Штаты Америки,2008,7.5
13-й участок,"Криминальный фильм,Драма (жанр),Экранизация",Мартин Фрич,"Флаг Чехословакии,Чехословакия",1946,7.5
20 000 дней на Земле,"Документальный фильм,Музыкальный фильм","Айан Форсайт (страница отсутствует),Джейн Поллард (страница отсутствует)",Великобритания,2014,5.4
13-й знак,Ужасы,"Эктон, Джонти (страница отсутствует),Мэйсон, Адам (страница отсутствует)",Великобритания,2000,7.5
13 призраков,Фильм ужасов,Уильям Касл,Соединённые Штаты Америки,1960,7.5
13 убийц,Боевик (киножанр),Такаси Миикэ,Япония,2010,7.5
13 друзей хунты,Документальный фильм,,Россия,2014,7.5
Тринадцатый апостол,Фантастический фильм,"Бабаян, Сурен Гургенович (страница отсутствует)",Союз Советских Социалистических Республик,1988,N/A
13 дней во Франции,"Документальный фильм,Спортивный фильм","Лелуш, Клод,Рейшенбах, Франсуа",Франция,1968,7.5
12 разгневанных мужчин,d:Q3072039,"Фридкин, Уильям",Соединённые Штаты Америки,,9.0
13-й район: Ультиматум,Боевик (киножанр),"Алессандрин, Патрик (страница отсутствует),Французский язык,fr:Patrick Alessandrin",Франция,2009,7.5
Двенадцать стульев,,"Захаров, Марк Анатольевич",Союз Советских Социалистических Республик,,N/A
13 стульев,Кинокомедия,Эмерих Йозеф Войтек (страница отсутствует),Нацистская Германия,1938,7.5
12 обезьян,"Кинофантастика,Триллер,Драма (жанр),Антиутопия","Гиллиам, Терри",Соединённые Штаты Америки,1995,9.0
13 изгнаний дьявола,Фильм ужасов,,Флаг Испании,2022,7.5
12 лет рабства,"Исторический фильм,Драма (жанр)","Маккуин, Стив (режиссёр)",Соединённые Штаты Америки,2013,9.0
18-14,"Историческое кино,Детектив,Приключение",Андрес Пуустусмаа,Россия,2007,6.0
12 стульев,Кинокомедия,"Гайдай, Леонид Иович",Кинематограф СССР,1971,9.0
12 дней террора,"Ужасы,Триллер,Драма (фильм)",Джек Шолдер,Южно-Африканская Республика,2004,9.0
12 раундов: Перезагрузка,"Боевик (киножанр),Триллер",d:Q543733,Соединённые Штаты Америки,2013,9.0
13 грехов,"Триллер,Фильм ужасов",,Соединённые Штаты Америки,2014,7.5
12 раундов,"Боевик (киножанр),Триллер,Криминал",Ренни Харлин,Кинематограф США,2009,9.0
12 месяцев. Новая сказка,"Фильм-сказка,Кинокомедия,Мелодрама,Семейный фильм","Елеонский, Денис Леонидович (страница отсутствует)",Россия,19 февраля,9.0
11.6,"Драма (жанр),Саундтрек","Годо, Филипп (страница отсутствует)",Франция,2013,5.7
10 причин моей ненависти,Романтическая комедия,"Джангер, Джил (страница отсутствует)",Соединённые Штаты Америки,1999,7.3
12 могил Ходжи Насреддина,"Кинокомедия,Сказка","Минц, Климентий Борисович",Кинематограф СССР,1966,9.0
12 этажей спустя,,"Агаев, Джафар Сейранович (страница отсутствует)",Россия,2024,9.0
«12»,"Психология,Триллер,Право,Детектив,Драма (жанр),Артхаус","Михалков, Никита Сергеевич",Россия,2007,9.0
11-11-11,Фильм ужасов о сверхъестественном,"Боусман, Даррен Линн","Соединённые Штаты Америки,Испания",1 ноября,3.9
10 на 10,Психологический триллер,,"Великобритания,Соединённые Штаты Америки",2018,N/A
10 миль в час,Документальное кино,"Уикс, Хантер (страница отсутствует),en:Hunter Weeks","Соединённые Штаты Америки,США",2007,7.3
10 лет спустя,"Драма (жанр),Романтическая комедия","Линден, Джеми (страница отсутствует)",Соединённые Штаты Америки,2011,7.3
11:14,"Триллер,Детективный фильм,Криминальный фильм,Черный юмор","Маркс, Грег (страница отсутствует),en:Greg Marcks","Кинематограф США,Кинематограф Канады",2003,7.1
10 000 лет до нашей эры,Приключенческий боевик (кино),"Эммерих, Роланд","Южно-Африканская Республика,Соединённые Штаты Америки",22 февраля,4.4
9 секунд,,"Штром, Олег Никитич",Россия,2024,7.9
9 мая. Личное отношение,,"Смирнова, Авдотья Андреевна,Котт, Александр Константинович,Котт, Владимир Константинович,Евгений Лаврентьев,Карен Оганесян,Максим Пежемский,Егор Кончаловский,Василий Чигинский",Россия,,7.9
12 месяцев,"Романтический фильм,Фэнтезийная комедия","Баршак, Александр Дмитриевич (страница отсутствует)",Россия,2013,9.0
9 смертей ниндзя,Боевик (киножанр),"Олстон, Эмметт (страница отсутствует)",Соединённые Штаты Америки,1985,7.9
11 сентября,"Драма (жанр),Исторический фильм,Киноальманах","Махмальбаф, Самира,Лелуш, Клод,Шахин, Юсеф,Танович, Данис,Уэдраого, Идрисса,Лоуч, Кен,Гонсалес Иньярриту, Алехандро,Гитай, Амос,Наир, Мира,Пенн, Шон,Имамура, Сёхэй","Иран,Франция,Египет,Босния и Герцеговина,Буркина-Фасо,Великобритания,Мексика,Израиль,Индия,Соединённые Штаты Америки,Япония",2002,7.5
9 рота,"Военный фильм,Исторический фильм,Боевик (киножанр),Драма (жанр)","Бондарчук, Фёдор Сергеевич","Россия,Украина",2005,7.9
8 свиданий,Романтическая кинокомедия,,Испания,2008,7.0
10 шагов к успеху,Комедийная драма,,Соединённые Штаты Америки,2006,7.3
9 душ,Фильм-драма,Тосиаки Тоёда (страница отсутствует),Япония,2003,7.9
9 мёртвых геев,"Драма (жанр),Комедия",,Великобритания,2002,7.9
9 месяцев строгого режима,Кинокомедия,"Дюпонтель, Альбер",Франция,2013,7.9
8 первых свиданий,"Мелодрама,Кинокомедия",,"Россия,Украина",2012,7.0
8-битное Рождество,Кинокомедия,"Даус, Майкл (страница отсутствует)",Соединённые Штаты Америки,2021,7.0
9 апреля,,,Дания,2015,7.9
8 женщин,"Мюзикл,Кинокомедия,Детектив","Озон, Франсуа","Кинематограф Франции,Италия",2002,7.0
8 миллиметров,"Триллер,Детективный фильм",Джоэл Шумахер,"Соединённые Штаты Америки,Германия",1999,7.0
8 подруг Оушена,"Кинокомедия,Криминальный фильм","Росс, Гэри",Соединённые Штаты Америки,2018,7.0
8 лучших свиданий,"Кинокомедия,Мелодрама","Вайсберг, Марюс",,2016,7.0
007: Спектр,Шпионский фильм,"Мендес, Сэм","Кинематограф Великобритании,Кинематограф США",2015,7.1
Ноль-седьмой меняет курс,"Боевик (киножанр),Драма (жанр)","Потапов, Владимир Алексеевич (кинематографист) (страница отсутствует)",Россия,2007,N/A
7 секунд,Боевик (киножанр),en:Simon Fellows,"Соединённые Штаты Америки,Румыния,Швейцария,Великобритания",28 июня,7.1
7 ящиков,"Триллер,Криминальный фильм","Хуан Карлос Манелья (страница отсутствует),Тана Шембори (страница отсутствует)",Парагвай,2012,7.1
"7 дней, 7 ночей",,,Россия,2024,7.7
9 песен,"Драма (жанр),Мелодрама,Музыкальный фильм,Эротика","Уинтерботтом, Майкл",Великобритания,2004,7.9
7 дней и ночей с Мэрилин,"Драма (жанр),Фильм-биография","Кёртис, Саймон (режиссёр) (страница отсутствует),en:Simon Curtis (filmmaker)",Великобритания,2011,7.1
7 дней до смерти,"Драма (жанр),Фильм ужасов,Триллер",,"Соединённые Штаты Америки,Германия,Чехия",2000,7.1
6 дней,"Боевик (жанр),Триллер",Тоа Фрейзер (страница отсутствует),"Великобритания,Новая Зеландия",2017,7.8
6-й день,Киберпанк,"Споттисвуд, Роджер",Кинематограф США,2000,7.8
5-я волна,"Постапокалиптика,Научная фантастика",,Соединённые Штаты Америки,2016,5.9
12:08 к востоку от Бухареста,Кинокомедия,"Порумбою, Корнелиу",Румыния,2006,7.3
007: Координаты «Скайфолл»,Шпионский фильм,Сэм Мендес,"Великобритания,Соединённые Штаты Америки",2012,7.1
7 женщин,Драма (жанр),"Форд, Джон (режиссёр)",Соединённые Штаты Америки,1966,7.1
5 терапия,"Драма (жанр),Триллер,Биография",,Украина,2017,5.9
5 причин не влюбиться в казаха,Кинокомедия,,Казахстан,2017,5.9
9/11,"Драма (жанр),Фильм-катастрофа",,Соединённые Штаты Америки,2017,8.5
7 главных желаний,"Кинокомедия,Мелодрама","Соколовский, Вадим Михайлович",Россия,2013,7.1
5 недель,Трагикомедия,,Россия,2021,5.9
5 разбитых камер,Документальное кино,,"Израиль,Палестинская национальная администрация,Франция,Нидерланды",2011,5.9
4:44. Последний день на Земле,"Драма (жанр),Кинофантастика","Феррара, Абель",Соединённые Штаты Америки,2011,4.6
5 неизвестных...,Триллер,,Соединённые Штаты Америки,2006,5.9
5 дней в августе,"Военный фильм,Боевик (киножанр),Пропагандистский фильм","Харлин, Ренни","Соединённые Штаты Америки,Грузия",2011,5.9
"4 месяца, 3 недели и 2 дня",Драма (жанр),"Мунджиу, Кристиан","Флаг Румынии,Румыния",2007,N/A
4 американских композитора,"Документальный фильм,Музыкальный фильм","Гринуэй, Питер",Великобритания,1983,7.6
4 дня в мае,"Военный фильм,Драма (жанр),Боевик (жанр)",Ахим фон Боррис (страница отсутствует),"Германия,Украина,Россия",2011,7.6
4 x 4,,,"Финляндия,Норвегия,Швеция,Дания",1965,7.1
1 миля до тебя,"Драма (жанр),Мелодрама",Лейф Тильден (страница отсутствует),Соединённые Штаты Америки,2017,8.2
4.3.2.1,"Триллер,Электро-хаус,Соул,Ритм-н-блюз,Хип-хоп,Грайм","Кларк, Ноэль",Кинематограф Великобритании,2010,5.8
"«Москвич», любовь моя",,,"Армения,Франция,Россия",2015,N/A
4 маленькие девочки,,"Ли, Спайк",Соединённые Штаты Америки,1997,7.6
4 листа фанеры,Детектив,"Гаврилюк, Иван Ярославович,Курбанов, Сайдо Бобоевич",Украина,1992,7.6
7:35 утра,"Короткометражный фильм,Музыкальный фильм","Вигалондо, Начо",Испания,21 ноября,7.3
8 ½ $,Кинокомедия,"Константинопольский, Григорий Михайлович",Россия,1999,6.3
(Не)идеальные роботы,"Романтическая комедия,Научно-фантастический фильм,d:Q52162262","Хайнс, Энтони,Каспер Кристенсен (страница отсутствует)",Соединённые Штаты Америки,2023,N/A
(Не)бывшие,Драматический фильм,"Бризе, Стефан",Франция,8 сентября,N/A
«Спартак»: действующие лица… и болельщики,"Документальный фильм,Спортивный фильм","Илья Гутман,Пастернак, Иосиф Семёнович",Союз Советских Социалистических Республик,1985,N/A
1,Документальный фильм,Пол Краудер (страница отсутствует),Соединённые Штаты Америки,2013,7.9
(Почти) Пять Докторов: Перезагрузка,"Кинокомедия,Кинопародия","Дэвисон, Питер",Великобритания,,N/A
Чудотворец из Бирюлёва,Игровое кино,"Эпштейн, Борис Рафаилович (страница отсутствует)",Союз Советских Социалистических Республик,1958,N/A
…а пятый всадник – Страх,,"Бриних, Збынек",Чехословакия,1965,N/A
…И прекрасный миг победы,,"Винник, Вячеслав Григорьевич (страница отсутствует)",Союз Советских Социалистических Республик,1984,N/A
…и передайте привет ласточкам,,"Йиреш, Яромил",Чехословакия,1972,N/A
…которого любили все,"Документальный фильм,Биографический фильм","Осыка, Леонид Михайлович",Союз Советских Социалистических Республик,1982,N/A
?,Драматический фильм,d:Q4201122,Индонезия,7 апреля,N/A
5×2,"Мелодрама,Драма (жанр)","Озон, Франсуа",Франция,2004,5.6
4:0 в пользу Танечки,Кинокомедия,"Василевский, Радомир Борисович",Союз Советских Социалистических Республик,1982,6.9
0-41*,"Документальный фильм,Драма (жанр),Комедия",Сенна Хегде (страница отсутствует),Индия,2016,8.9
«SOS» над тайгой,"Драматический фильм,Приключенческий фильм","Кольцатый, Аркадий Николаевич",Кинематограф СССР,1976,6.2
